parent_cell,parent_x,parent_y,parent_z,daughter1,daughter2,birth_time,cell_size,size_category,time_category,generation
P0,422.07777778,248.31666666,14.326666666,AB,P1,0.0,489.914350488527,medium,early,0
AB,317.785053825,251.80042565,14.70036533625,ABa,ABp,17.0,405.71775353452125,medium,early,1
P1,445.3393565,253.8605633875,15.23819611625,EMS,P2,18.0,512.8396734966302,large,early,9
ABa,251.1503696625,254.4083624875,15.06383718375,ABar,ABal,35.0,357.8086671335396,medium,early,2
ABp,358.98412735,267.2765126875,14.87758774625,ABpr,ABpl,35.0,447.80317165109466,medium,early,2
EMS,380.806094425,240.9462640375,15.0949706325,MS,E,39.0,450.8838451788295,medium,early,2
P2,489.6439353875,252.4161763,15.4385942575,C,P3,42.0,551.0929683023716,large,early,2
ABal,223.0276970375,245.9936990875,15.47635926375,ABala,ABalp,50.0,332.40603383913333,medium,early,3
ABar,285.0467059375,268.8158069875,15.18162948625,ABara,ABarp,50.0,392.1020843173602,medium,early,3
ABpl,351.0989584875,254.3836405125,15.31050525,ABplp,ABpla,50.0,433.8385953121395,medium,early,3
ABpr,410.7116492875,264.9469936375,14.93181156375,ABprp,ABpra,55.0,488.9825429343906,medium,early,3
E,432.6886088875,249.09343005,15.53709975125,Ep,Ea,58.0,499.5081286863653,medium,early,3
MS,346.9338562875,243.0266701375,14.66644114375,MSp,MSa,58.0,423.83978993537175,medium,early,3
ABplp,353.5002455375,238.3328286875,15.6882521425,ABplpp,ABplpa,67.0,426.6275683550521,medium,early,4
P3,501.819885075,247.4435226625,15.54214668875,D,P4,68.0,559.7258724482977,large,early,3
ABala,213.12140965,257.4950707875,15.303375395,ABalaa,ABalap,68.0,334.60221163277305,medium,early,4
ABalp,242.464728125,237.7061582625,15.527250415,ABalpp,ABalpa,68.0,339.903600401786,medium,early,4
ABarp,329.2359091,277.3430934375,15.3806736825,ABarpp,ABarpa,68.0,430.7575193090805,medium,early,4
C,454.07863055,262.890848875,15.42513003375,Cp,Ca,70.0,524.9161226147846,large,early,3
ABara,298.0093306375,262.2539351625,14.688905605,ABarap,ABaraa,75.0,397.2435671009666,medium,early,4
ABpla,282.4308481625,257.285102425,15.58957578,ABplap,ABplaa,75.0,382.3687262272272,medium,early,4
ABpra,399.7654673,272.58985375,14.9382634575,ABpraa,ABprap,75.0,484.0876046008196,medium,early,4
ABprp,442.3363238875,256.029673575,14.8141148,ABprpa,ABprpp,75.0,511.304288245792,medium,early,4
MSa,301.2879952375,237.4424445375,14.99291964375,MSap,MSaa,85.0,383.898630085625,medium,early,4
MSp,363.428951275,246.21360585,14.60027755125,MSpa,MSpp,85.0,439.2207991831432,medium,early,4
ABalap,229.9191832625,266.7367609,15.54799668875,ABalapa,ABalapp,92.0,352.49549025278634,medium,early,5
ABalaa,204.5349467875,255.8945048375,15.08994478375,ABalaaa,ABalaap,94.0,327.9393975980492,medium,early,5
Ca,398.6028986,259.4625688,15.24209138375,Cap,Caa,97.0,475.854407072549,medium,early,4
Cp,467.7115583,263.5736586375,15.45729870625,Cpa,Cpp,97.0,537.0885433317917,large,early,4
ABalpa,219.065737325,239.1526388375,15.583602735,ABalpaa,ABalpap,105.0,324.6946728957651,medium,early,5
ABalpp,271.5603695,235.9853221375,16.02553986,ABalppa,ABalppp,105.0,360.12626185147985,medium,early,5
ABaraa,264.2091216375,259.877717325,14.78627388875,ABaraap,ABaraaa,105.0,370.89287107468783,medium,early,5
ABarap,320.7283877625,266.8614433625,14.74722891375,ABarapa,ABarapp,105.0,417.49156809555313,medium,early,5
ABarpa,296.4612039125,277.8054761125,15.3912325475,ABarpaa,ABarpap,105.0,406.57350875662445,medium,early,5
ABarpp,369.4115119,277.735316825,15.47830264875,ABarppp,ABarppa,105.0,462.4298316382857,medium,early,5
ABplaa,258.07933835,258.2536250875,15.9134624525,ABplaap,ABplaaa,105.0,365.44920035654195,medium,early,5
ABplap,326.0579009,257.861466525,15.5330304075,ABplapa,ABplapp,105.0,415.989862486309,medium,early,5
ABplpa,335.8011011125,232.237792625,15.91399845625,ABplpaa,ABplpap,105.0,408.5951874148367,medium,early,5
ABplpp,394.938767475,237.8356056875,15.976181735,ABplppp,ABplppa,105.0,461.2999498918701,medium,early,5
ABpraa,373.348907075,277.652773475,14.93108575375,ABpraaa,ABpraap,105.0,465.5141312078963,medium,early,5
ABprap,435.6021338875,276.174747425,15.14102977,ABprapp,ABprapa,105.0,515.9951171717636,large,early,5
ABprpa,423.971967,261.430650075,14.80598721875,ABprpaa,ABprpap,105.0,498.3145902519893,medium,early,5
ABprpp,482.9915543625,260.7433145875,15.08752792375,ABprppa,ABprppp,105.0,549.0861054392377,large,early,5
Ea,403.6561410875,249.6521681125,15.27480772125,Eal,Ear,110.0,474.8660916846399,medium,early,4
D,502.8339735625,248.3478592875,15.54572799125,Dp,Da,115.0,561.0350558032134,large,early,4
Ep,445.7888371875,247.3436190125,15.22587999875,Epr,Epl,115.0,510.03762669916864,medium,early,4
MSaa,272.7210683875,237.32759495,14.97960123125,MSaaa,MSaap,115.0,361.83636760311697,medium,early,5
MSap,329.15222215,234.529680075,14.86873361625,MSapa,MSapp,120.0,404.43347465524636,medium,early,5
MSpa,324.281298975,244.4855799,14.650432595,MSpap,MSpaa,120.0,406.3818337711139,medium,early,5
ABalapa,218.013403975,265.9387344375,15.456148715,ABalapaa,ABalapap,120.0,344.2268834941366,medium,early,6
ABalapp,257.6543689375,257.991198125,15.124922645,ABalappp,ABalappa,121.0,364.9301240341383,medium,early,6
MSpp,390.809417,248.49255985,14.62691858,MSppa,MSppp,122.0,463.35137796690714,medium,early,5
ABalaaa,197.0315137,257.065360475,14.9963821375,ABalaaaa,ABalaaap,122.0,324.2358839244492,medium,early,6
ABalaap,227.3749115,248.2103345125,14.902155465,ABalaapa,ABalaapp,123.0,336.9418269908665,medium,early,6
Caa,379.5021826625,264.3335191875,15.34001518625,Caap,Caaa,133.0,462.74121501932837,medium,early,5
Cap,435.6006471875,253.2647995625,15.5612545675,Capa,Capp,133.0,504.11619213363565,medium,early,5
Cpa,462.25389285,268.633027675,15.66872919875,Cpap,Cpaa,133.0,534.8718295886598,large,early,5
Cpp,504.2286469,253.8497175625,15.72828956625,Cppa,Cppp,133.0,564.7420531126097,large,early,5
ABalpaa,206.2655229,243.136808525,15.54148796375,ABalpaap,ABalpaaa,135.0,319.2217277145469,small,early,6
ABalpaa,210.375,253.0054348,15.6509058,ABalpaap,ABalpaaa,135.0,329.4151507075798,medium,early,6
ABalpap,243.4659609,232.3277582125,15.38144682625,ABalpapp,ABalpapa,135.0,336.8804688008418,medium,early,6
ABalppp,297.9082910375,231.8768665125,15.5921726875,ABalpppp,ABalpppa,135.0,377.8350790247729,medium,early,6
ABaraaa,238.68885635,264.2361982,14.79585569875,ABaraaaa,ABaraaap,135.0,356.3875081013907,medium,early,6
ABaraap,280.343927175,254.9510055125,14.70914243,ABaraapa,ABaraapp,135.0,379.2216918726598,medium,early,6
ABarapa,291.4656385625,271.4315708375,14.59540302,ABarapaa,ABarapap,135.0,398.5477912362266,medium,early,6
ABarapp,341.890843175,263.1233876125,14.53721085875,ABarappp,ABarappa,135.0,431.6649120036769,medium,early,6
ABarpaa,267.4234513,276.6945018,15.35788739625,ABarpaap,ABarpaaa,135.0,385.11169072988366,medium,early,6
ABarpap,309.9252427625,268.3152525375,14.86906399375,ABarpapp,ABarpapa,135.0,410.2046073725979,medium,early,6
