source_id,target_id,source_name,target_name,type,timepoints_present,first_appearance,last_appearance,timepoint_list
0,1,ADAL,ADAR,electrical,5,1,8,"[np.int64(1), np.int64(2), np.int64(3), np.int64(4), np.int64(8)]"
0,13,ADAL,AIBR,chemical,4,1,7,"[np.int64(1), np.int64(2), np.int64(4), np.int64(7)]"
0,38,ADAL,ASKL,electrical,4,1,5,"[np.int64(1), np.int64(3), np.int64(4), np.int64(5)]"
0,43,ADAL,AVAR,chemical,5,1,8,"[np.int64(1), np.int64(2), np.int64(3), np.int64(6), np.int64(8)]"
0,47,ADAL,AVDR,chemical,4,1,8,"[np.int64(1), np.int64(2), np.int64(4), np.int64(8)]"
0,159,ADAL,RICR,chemical,4,1,7,"[np.int64(1), np.int64(2), np.int64(3), np.int64(7)]"
1,12,ADAR,AIBL,chemical,3,1,7,"[np.int64(1), np.int64(5), np.int64(7)]"
1,46,ADAR,AVDL,chemical,4,1,7,"[np.int64(1), np.int64(2), np.int64(6), np.int64(7)]"
1,158,ADAR,RICL,chemical,6,1,7,"[np.int64(1), np.int64(2), np.int64(3), np.int64(4), np.int64(5), np.int64(7)]"
1,159,ADAR,RICR,electrical,2,1,7,"[np.int64(1), np.int64(7)]"
2,0,ADEL,ADAL,chemical,5,1,8,"[np.int64(1), np.int64(2), np.int64(6), np.int64(7), np.int64(8)]"
2,47,ADEL,AVDR,chemical,3,1,6,"[np.int64(1), np.int64(4), np.int64(6)]"
3,163,ADER,RIGL,chemical,5,1,8,"[np.int64(1), np.int64(5), np.int64(6), np.int64(7), np.int64(8)]"
3,164,ADER,RIGR,chemical,6,1,8,"[np.int64(1), np.int64(4), np.int64(5), np.int64(6), np.int64(7), np.int64(8)]"
4,18,ADFL,AIYL,chemical,5,1,8,"[np.int64(1), np.int64(2), np.int64(3), np.int64(6), np.int64(8)]"
4,29,ADFL,ASER,chemical,3,1,7,"[np.int64(1), np.int64(5), np.int64(7)]"
4,53,ADFL,AVHR,chemical,4,1,8,"[np.int64(1), np.int64(2), np.int64(7), np.int64(8)]"
5,11,ADFR,AIAR,chemical,3,1,4,"[np.int64(1), np.int64(3), np.int64(4)]"
5,19,ADFR,AIYR,electrical,2,1,6,"[np.int64(1), np.int64(6)]"
5,219,ADFR,URXR,chemical,3,1,7,"[np.int64(1), np.int64(4), np.int64(7)]"
6,150,ADLL,PVQL,chemical,3,1,7,"[np.int64(1), np.int64(5), np.int64(7)]"
6,186,ADLL,RMGL,electrical,6,1,6,"[np.int64(1), np.int64(2), np.int64(3), np.int64(4), np.int64(5), np.int64(6)]"
7,1,ADLR,ADAR,chemical,5,1,6,"[np.int64(1), np.int64(3), np.int64(4), np.int64(5), np.int64(6)]"
7,29,ADLR,ASER,chemical,6,1,8,"[np.int64(1), np.int64(3), np.int64(5), np.int64(6), np.int64(7), np.int64(8)]"
7,39,ADLR,ASKR,chemical,6,1,6,"[np.int64(1), np.int64(2), np.int64(3), np.int64(4), np.int64(5), np.int64(6)]"
