source_id,target_id,source_name,target_name,type,timepoints_present,first_appearance,last_appearance,timepoint_list
2,115,ADEL,FLPR,chemical,1,1,1,[np.int64(1)]
3,57,ADER,AVKR,electrical,1,1,1,[np.int64(1)]
3,145,ADER,PVCR,chemical,1,1,1,[np.int64(1)]
5,29,ADFR,ASER,chemical,1,1,1,[np.int64(1)]
8,4,AFDL,ADFL,chemical,1,1,1,[np.int64(1)]
10,62,AIAL,AWBL,chemical,1,1,1,[np.int64(1)]
15,65,AIMR,AWCR,chemical,1,1,1,[np.int64(1)]
17,12,AINR,AIBL,chemical,2,1,2,"[np.int64(1), np.int64(2)]"
17,31,AINR,ASGR,chemical,1,1,1,[np.int64(1)]
17,39,AINR,ASKR,electrical,1,1,1,[np.int64(1)]
18,200,AIYL,SIBDL,chemical,1,1,1,[np.int64(1)]
20,29,AIZL,ASER,chemical,1,1,1,[np.int64(1)]
29,63,ASER,AWBR,electrical,1,1,1,[np.int64(1)]
31,37,ASGR,ASJR,chemical,1,1,1,[np.int64(1)]
32,204,ASHL,SMBDL,chemical,2,1,3,"[np.int64(1), np.int64(3)]"
33,43,ASHR,AVAR,electrical,1,1,1,[np.int64(1)]
33,207,ASHR,SMBVR,electrical,1,1,1,[np.int64(1)]
34,17,ASIL,AINR,chemical,1,1,1,[np.int64(1)]
35,29,ASIR,ASER,chemical,2,1,3,"[np.int64(1), np.int64(3)]"
36,107,ASJL,CEPshDL,chemical,2,1,2,"[np.int64(1), np.int64(2)]"
37,11,ASJR,AIAR,chemical,2,1,3,"[np.int64(1), np.int64(3)]"
42,159,AVAL,RICR,electrical,1,1,1,[np.int64(1)]
56,163,AVKL,RIGL,chemical,1,1,1,[np.int64(1)]
56,207,AVKL,SMBVR,chemical,1,1,1,[np.int64(1)]
66,156,BAGL,RIBL,electrical,1,1,1,[np.int64(1)]
68,69,BDUL,BDUR,chemical,1,1,1,[np.int64(1)]
68,117,BDUL,GLRDR,chemical,1,1,1,[np.int64(1)]
103,0,CEPDL,ADAL,chemical,2,1,2,"[np.int64(1), np.int64(2)]"
112,173,DVA,RIVR,electrical,1,1,1,[np.int64(1)]
113,2,DVC,ADEL,chemical,1,1,1,[np.int64(1)]
114,115,FLPL,FLPR,electrical,1,1,1,[np.int64(1)]
138,140,OLQDL,OLQVL,electrical,1,1,1,[np.int64(1)]
138,158,OLQDL,RICL,electrical,1,1,1,[np.int64(1)]
139,43,OLQDR,AVAR,chemical,1,1,1,[np.int64(1)]
141,158,OLQVR,RICL,chemical,1,1,1,[np.int64(1)]
141,207,OLQVR,SMBVR,chemical,1,1,1,[np.int64(1)]
144,165,PVCL,RIH,chemical,1,1,1,[np.int64(1)]
144,205,PVCL,SMBDR,chemical,1,1,1,[np.int64(1)]
145,69,PVCR,BDUR,chemical,1,1,1,[np.int64(1)]
148,145,PVPL,PVCR,chemical,1,1,1,[np.int64(1)]
149,42,PVPR,AVAL,chemical,1,1,1,[np.int64(1)]
152,213,PVR,URADR,electrical,1,1,1,[np.int64(1)]
155,159,RIAR,RICR,chemical,1,1,1,[np.int64(1)]
157,67,RIBR,BAGR,chemical,1,1,1,[np.int64(1)]
157,110,RIBR,CEPshVR,chemical,1,1,1,[np.int64(1)]
159,97,RICR,BWM-VR04,chemical,1,1,1,[np.int64(1)]
159,173,RICR,RIVR,electrical,1,1,1,[np.int64(1)]
159,174,RICR,RMDDL,chemical,1,1,1,[np.int64(1)]
160,220,RID,URYDL,electrical,1,1,1,[np.int64(1)]
161,109,RIFL,CEPshVL,chemical,1,1,1,[np.int64(1)]
161,151,RIFL,PVQR,chemical,1,1,1,[np.int64(1)]
163,109,RIGL,CEPshVL,chemical,1,1,1,[np.int64(1)]
165,181,RIH,RMEL,chemical,2,1,3,"[np.int64(1), np.int64(3)]"
166,12,RIML,AIBL,chemical,1,1,1,[np.int64(1)]
166,209,RIML,SMDDR,electrical,1,1,1,[np.int64(1)]
167,105,RIMR,CEPVL,chemical,1,1,1,[np.int64(1)]
173,121,RIVR,GLRVR,chemical,1,1,1,[np.int64(1)]
181,215,RMEL,URAVR,chemical,1,1,1,[np.int64(1)]
186,154,RMGL,RIAL,chemical,1,1,1,[np.int64(1)]
187,127,RMGR,IL1R,chemical,1,1,1,[np.int64(1)]
187,175,RMGR,RMDDR,chemical,1,1,1,[np.int64(1)]
201,210,SIBDR,SMDVL,electrical,1,1,1,[np.int64(1)]
215,180,URAVR,RMED,chemical,2,1,2,"[np.int64(1), np.int64(2)]"
216,71,URBL,BWM-DL02,chemical,2,1,2,"[np.int64(1), np.int64(2)]"
216,87,URBL,BWM-VL02,chemical,1,1,1,[np.int64(1)]
217,79,URBR,BWM-DR02,chemical,1,1,1,[np.int64(1)]
218,140,URXL,OLQVL,chemical,2,1,2,"[np.int64(1), np.int64(2)]"
0,160,ADAL,RID,chemical,1,2,2,[np.int64(2)]
